wavelength_um,loss_10,loss_10_sd,loss_12,loss_12_sd,loss_13,loss_13_sd
2.70336,0.638375,0.0172567,0.545197,0.0136701,0.482372,0.0115682
2.71543,0.638269,0.0174031,0.545107,0.0137756,0.482294,0.0116485
2.72755,0.63817,0.0175509,0.545022,0.0138822,0.482221,0.0117298
2.73972,0.638078,0.0177002,0.544944,0.01399,0.482153,0.0118119
2.75195,0.637994,0.0178509,0.544871,0.0140989,0.48209,0.0118951
2.76424,0.637916,0.018003,0.544804,0.014209,0.482032,0.0119791
2.77658,0.637845,0.0181566,0.544743,0.0143201,0.48198,0.0120641
2.78897,0.63778,0.0183116,0.544688,0.0144323,0.481932,0.0121501
2.80142,0.637723,0.0184679,0.544638,0.0145457,0.481889,0.012237
2.81393,0.637673,0.0186256,0.544594,0.0146601,0.481852,0.0123248
2.82649,0.637629,0.0187847,0.544556,0.0147756,0.481819,0.0124135
2.8391,0.637593,0.0189452,0.544524,0.0148922,0.481791,0.0125032
2.85178,0.637562,0.019107,0.544497,0.0150099,0.481768,0.0125938
2.86451,0.637539,0.0192701,0.544475,0.0151287,0.48175,0.0126853
2.8773,0.637522,0.0194345,0.54446,0.0152485,0.481737,0.0127777
2.89014,0.637512,0.0196003,0.54445,0.0153694,0.481729,0.0128711
2.90304,0.637508,0.0197674,0.544445,0.0154913,0.481725,0.0129653
2.916,0.637511,0.0199357,0.544446,0.0156143,0.481726,0.0130605
2.92902,0.63752,0.0201054,0.544452,0.0157384,0.481732,0.0131566
2.94209,0.637537,0.0202763,0.544464,0.0158635,0.481743,0.0132536
2.95522,0.637558,0.0204485,0.544481,0.0159896,0.481759,0.0133515
2.96842,0.637588,0.0206219,0.544503,0.0161168,0.481779,0.0134503
2.98167,0.637622,0.0207966,0.544531,0.016245,0.481803,0.01355
2.99498,0.637664,0.0209725,0.544564,0.0163742,0.481833,0.0136506
3.00835,0.637711,0.0211497,0.544602,0.0165045,0.481866,0.013752
3.02178,0.637765,0.0213281,0.544646,0.0166358,0.481905,0.0138544
3.03526,0.637825,0.0215077,0.544694,0.0167681,0.481948,0.0139577
3.04881,0.637891,0.0216885,0.544748,0.0169014,0.481995,0.0140619
3.06242,0.637964,0.0218706,0.544807,0.0170358,0.482048,0.0141669
3.07609,0.638042,0.0220538,0.544872,0.0171711,0.482104,0.0142729
3.08983,0.638127,0.0222382,0.544941,0.0173074,0.482165,0.0143797
3.10362,0.638218,0.0224238,0.545016,0.0174448,0.482231,0.0144874
3.11747,0.638313,0.0226106,0.545095,0.0175831,0.4823,0.014596
3.13139,0.638417,0.0227986,0.54518,0.0177225,0.482375,0.0147055
3.14537,0.638525,0.0229877,0.545269,0.0178628,0.482453,0.0148159
3.15941,0.63864,0.023178,0.545364,0.0180041,0.482536,0.0149271
3.17351,0.63876,0.0233695,0.545463,0.0181464,0.482623,0.0150392
3.18768,0.638886,0.023562,0.545567,0.0182897,0.482715,0.0151522
3.20191,0.639018,0.0237558,0.545677,0.0184339,0.482811,0.0152661
3.2162,0.639156,0.0239507,0.545791,0.0185792,0.482911,0.0153808
3.23056,0.6393,0.0241467,0.54591,0.0187254,0.483015,0.0154964
3.24498,0.639449,0.0243438,0.546034,0.0188726,0.483124,0.0156129
3.25946,0.639605,0.0245421,0.546162,0.0190207,0.483236,0.0157302
3.27401,0.639764,0.0247414,0.546296,0.0191698,0.483353,0.0158484
3.28863,0.639932,0.0249419,0.546434,0.0193199,0.483474,0.0159674
3.30331,0.640103,0.0251435,0.546577,0.019471,0.4836,0.0160874
3.31805,0.640281,0.0253462,0.546724,0.0196229,0.483729,0.0162081
