wavelength_um,SW,uc_SW,Total,uc_Total,LW,uc_LW,SSW,uc_SSW
4.3082,0.148116,0.0113151,0.971757,0.000971882,0.00141814,0.000852023,0.256253,0.00988822
4.31164,0.145145,0.011093,0.971775,0.000972051,0.00143903,0.000853618,0.253629,0.00970484
4.31508,0.142179,0.010871,0.971793,0.00097222,0.00146094,0.000855318,0.250997,0.00952183
4.31852,0.139222,0.0106494,0.971811,0.000972389,0.00148392,0.000857122,0.248362,0.00933921
4.32197,0.13628,0.0104273,0.97183,0.000972561,0.00150801,0.000859033,0.245729,0.00915645
4.32542,0.133355,0.0102054,0.971848,0.000972733,0.00153324,0.000861046,0.243102,0.00897412
4.32887,0.130454,0.00998388,0.971866,0.000972906,0.00155967,0.00086316,0.240487,0.00879222
4.33232,0.127579,0.00976257,0.971885,0.000973081,0.00158733,0.000865375,0.237886,0.00861078
4.33578,0.124737,0.00954089,0.971903,0.000973258,0.00161626,0.000867695,0.235306,0.00842928
4.33923,0.12193,0.00932012,0.971922,0.000973435,0.00164652,0.000870109,0.232751,0.00824882
4.3427,0.119164,0.00909836,0.971941,0.000973616,0.00167813,0.000872631,0.230226,0.00806782
4.34616,0.116442,0.00887753,0.971959,0.000973799,0.00171114,0.000875244,0.227734,0.0078879
4.34963,0.11377,0.00865636,0.971978,0.000973984,0.0017456,0.00087796,0.225282,0.00770804
4.3531,0.111152,0.00843441,0.971997,0.000973908,0.00178155,0.000880645,0.222872,0.00752488
4.35657,0.108591,0.0082119,0.972016,0.000973639,0.00181908,0.000883327,0.220511,0.00733912
4.36004,0.106094,0.00798964,0.972034,0.000973377,0.0018583,0.000886098,0.218203,0.00715364
4.36352,0.103663,0.007767,0.972053,0.000973123,0.00189929,0.000888964,0.215952,0.00696791
4.367,0.101303,0.00754462,0.972072,0.000972877,0.00194217,0.000891917,0.213763,0.00678247
4.37049,0.0990199,0.00732188,0.972091,0.000972639,0.00198704,0.000894965,0.21164,0.00659682
4.37397,0.0968165,0.00710006,0.97211,0.000972409,0.00203399,0.000898091,0.209589,0.00641201
4.37746,0.0946977,0.00687789,0.972129,0.000972188,0.00208313,0.000901309,0.207613,0.00622701
4.38095,0.092668,0.00665603,0.972149,0.000971975,0.00213456,0.00090461,0.205719,0.00604237
4.38445,0.0907318,0.00643385,0.972168,0.000971773,0.00218838,0.000908003,0.203909,0.00585758
4.38795,0.0888934,0.006212,0.972187,0.000971579,0.00224469,0.000911479,0.202189,0.00567318
4.39145,0.0871574,0.0059905,0.972206,0.000971396,0.0023036,0.000915035,0.200564,0.0054892
4.39495,0.085528,0.00576936,0.972226,0.000971222,0.00236519,0.00091867,0.199038,0.00530567
4.39845,0.0840098,0.00554862,0.972245,0.000971058,0.00242959,0.000922385,0.197615,0.00512261
4.40196,0.0826071,0.00532765,0.972265,0.000970906,0.00249688,0.000926187,0.196301,0.00493956
4.40548,0.0813244,0.00510651,0.972284,0.000970766,0.00256716,0.000930076,0.1951,0.00475654
