wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss,u_common_sw,u_wavelength_sw,u_session_avg_sw,u_total_sw,u_common_to,u_wavelength_to,u_session_avg_to,u_total_to,u_common_lw,u_wavelength_lw,u_session_avg_lw,u_total_lw,u_common_ss,u_wavelength_ss,u_session_avg_ss,u_total_ss
0.320664,0.00834129,0.000176432,9.58017e-05,0.000148157,0.0102766,0.000125019,0.00011747,4.27844e-05,8.92305e-06,2.19814e-05,5.8195e-06,2.11971e-05,1.02214e-05,1.10089e-05,5.69457e-06,9.42166e-06,0.000505589,0.000104975,0.000392671,0.000672279,0.000557943,0.000102498,0.000392671,0.000701161,0.000420463,0.000102477,0.000392671,0.000584777,0.000558982,0.000102477,0.000392671,0.000690851
0.32092,0.00809455,0.000177232,9.55231e-05,0.000149287,0.0099552,0.000125343,0.00011765,4.32346e-05,8.98747e-06,2.18436e-05,5.7644e-06,2.10693e-05,1.00961e-05,1.0981e-05,5.64722e-06,9.41763e-06,0.000505589,0.000104687,0.00038771,0.00066956,0.000557943,0.00010227,0.00038771,0.000698419,0.000420463,0.00010225,0.00038771,0.000581412,0.000558982,0.00010225,0.00038771,0.000688009
0.321176,0.00782724,0.000177767,9.4738e-05,0.000150419,0.00960224,0.000132032,0.000124596,4.36851e-05,9.05127e-06,2.17058e-05,5.70978e-06,2.09414e-05,9.97172e-06,1.09533e-05,5.59984e-06,9.4136e-06,0.000505589,0.000104399,0.000382754,0.000666799,0.000557943,0.000102043,0.000382754,0.000696883,0.000420463,0.000102023,0.000382754,0.000578074,0.000558982,0.000102023,0.000382754,0.000685194
0.321432,0.00754211,0.000178086,9.35252e-05,0.000151551,0.00922368,0.000144023,0.000137093,4.4136e-05,9.11443e-06,2.15681e-05,5.65566e-06,2.08134e-05,9.8483e-06,1.09256e-05,5.55244e-06,9.40956e-06,0.000505589,0.000104113,0.000377801,0.000664009,0.000557943,0.000101817,0.000377801,0.000696522,0.000420463,0.000101797,0.000377801,0.000574761,0.000558982,0.000101797,0.000377801,0.000682405
0.321688,0.00724192,0.000178242,9.19664e-05,0.000152684,0.00882547,0.000158945,0.000152563,4.45873e-05,9.17697e-06,2.14305e-05,5.60202e-06,2.06853e-05,9.72583e-06,1.08981e-05,5.50502e-06,9.40552e-06,0.000505589,0.000103827,0.000372852,0.000661203,0.000557943,0.00010159,0.000372852,0.000697068,0.000420463,0.000101571,0.000372852,0.000571475,0.000558982,0.000101571,0.000372852,0.000679644
0.321945,0.00692942,0.000178287,9.0145e-05,0.000153818,0.00841355,0.000174132,0.000168206,4.50389e-05,9.23887e-06,2.12929e-05,5.54887e-06,2.05571e-05,9.60433e-06,1.08707e-05,5.45759e-06,9.40147e-06,0.000505589,0.000103541,0.000367888,0.000658384,0.000557943,0.000101363,0.000367888,0.000698025,0.000420463,0.000101344,0.000367888,0.000568203,0.000558982,0.000101344,0.000367888,0.000676899
0.322202,0.00660735,0.000178269,8.8145e-05,0.000154953,0.00799388,0.00018716,0.000181547,4.54909e-05,9.30013e-06,2.11553e-05,5.49622e-06,2.04288e-05,9.48379e-06,1.08435e-05,5.41015e-06,9.39742e-06,0.000505589,0.000103257,0.000362929,0.000655576,0.000557943,0.000101137,0.000362929,0.000698767,0.000420463,0.000101118,0.000362929,0.000564959,0.000558982,0.000101118,0.000362929,0.000674182
0.322459,0.00627847,0.000178236,8.60493e-05,0.000156089,0.00757241,0.000195988,0.000190527,4.59432e-05,9.36076e-06,2.10178e-05,5.44406e-06,2.03005e-05,9.36422e-06,1.08164e-05,5.36272e-06,9.39337e-06,0.000505589,0.000102973,0.000357973,0.000652791,0.000557943,0.00010091,0.000357973,0.000698598,0.000420463,0.000100892,0.000357973,0.000561742,0.000558982,0.000100892,0.000357973,0.000671492
0.322716,0.00594553,0.000178229,8.39387e-05,0.000157226,0.00715462,0.000199262,0.000193785,4.63959e-05,9.42075e-06,2.08803e-05,5.39239e-06,2.0172e-05,9.24564e-06,1.07894e-05,5.31529e-06,9.38932e-06,0.000505589,0.00010269,0.000353021,0.000650042,0.000557943,0.000100684,0.000353021,0.00069697,0.000420463,0.000100666,0.000353021,0.000558554,0.000558982,0.000100666,0.000353021,0.000668831
0.322974,0.00561129,0.000178283,8.18888e-05,0.000158363,0.00674359,0.000197483,0.000191846,4.6849e-05,9.4801e-06,2.07428e-05,5.34122e-06,2.00434e-05,9.12802e-06,1.07626e-05,5.26789e-06,9.38526e-06,0.000505589,0.000102407,0.000348053,0.000647328,0.000557943,0.000100458,0.000348053,0.000693926,0.000420463,0.00010044,0.000348053,0.000555382,0.000558982,0.00010044,0.000348053,0.000666188
0.323231,0.0052785,0.000178426,7.9968e-05,0.000159502,0.00634164,0.000191882,0.00018596,4.73024e-05,9.53881e-06,2.06054e-05,5.29054e-06,1.99147e-05,9.0114e-06,1.07359e-05,5.22051e-06,9.3812e-06,0.000505589,0.000102127,0.00034311,0.000644678,0.000557943,0.000100233,0.00034311,0.000689848,0.000420463,0.000100215,0.00034311,0.000552251,0.000558982,0.000100215,0.00034311,0.000663584
0.323489,0.0049499,0.000178679,7.82342e-05,0.000160642,0.00595108,0.000183782,0.000177469,4.77562e-05,9.59687e-06,2.04681e-05,5.24036e-06,1.97859e-05,8.89576e-06,1.07094e-05,5.17316e-06,9.37714e-06,0.000505589,0.000101846,0.00033815,0.000642079,0.000557943,0.000100007,0.00033815,0.000685145,0.000420463,9.99895e-05,0.00033815,0.000549137,0.000558982,9.99895e-05,0.00033815,0.000660999
