wavelength_um,lst,u_random_lst
0.33291,0.0074059,0.00024645
0.333175,0.00810703,0.000251395
0.333441,0.00887475,0.00025618
0.333707,0.00971172,0.00026082
0.333973,0.0106206,0.000265338
0.33424,0.0116041,0.000269773
0.334506,0.0126649,0.000274176
0.334773,0.0138057,0.000278612
0.33504,0.0150291,0.000283166
0.335307,0.0163378,0.000287937
0.335575,0.0177346,0.000293042
0.335843,0.019222,0.000298616
0.33611,0.0208028,0.00030562
0.336379,0.0224796,0.00031361
0.336647,0.0242551,0.000322526
0.336915,0.026132,0.000332549
0.337184,0.028113,0.000343865
0.337453,0.0302007,0.000356658
0.337722,0.0323979,0.00037111
0.337992,0.0347071,0.000387392
0.338261,0.0371311,0.000405665
0.338531,0.0396726,0.000426075
0.338801,0.0423342,0.000448752
0.339072,0.0451187,0.000473811
0.339342,0.0480286,0.00050135
0.339613,0.0510667,0.000531454
0.339884,0.0542357,0.000564194
0.340155,0.0575379,0.000599616
0.340426,0.0609725,0.000637449
0.340698,0.0645355,0.000677124
0.340969,0.068223,0.000718013
0.341241,0.0720309,0.00075946
0.341514,0.0759552,0.000801148
0.341786,0.0799921,0.000842175
0.342059,0.0841375,0.000881738
0.342332,0.0883874,0.000919207
0.342605,0.0927378,0.000953984
0.342878,0.0971849,0.000985511
0.343151,0.101724,0.00101328
0.343425,0.106353,0.00103685
0.343699,0.111065,0.00105585
0.343973,0.115859,0.00107005
0.344248,0.120729,0.00107932
0.344522,0.125672,0.00108373
0.344797,0.130683,0.00108359
0.345072,0.135759,0.00107954
0.345347,0.140898,0.0010729
0.345623,0.1461,0.00106578
0.345899,0.151367,0.0010603
0.346175,0.156699,0.00105836
0.346451,0.162099,0.00106153
0.346727,0.167568,0.00107089
0.347004,0.173106,0.00108575
0.34728,0.178715,0.00110652
0.347557,0.184397,0.00113323
0.347835,0.190152,0.00116475
0.348112,0.195983,0.00119956
0.34839,0.201889,0.00123596
0.348668,0.207873,0.00127216
0.348946,0.213936,0.0013064
0.349224,0.220079,0.001337
0.349503,0.226304,0.00136245
0.349782,0.232611,0.00138149
0.350061,0.239002,0.00139311
0.35034,0.245475,0.00139727
0.350619,0.252023,0.00139537
0.350899,0.258637,0.00138911
0.351179,0.265308,0.00138027
0.351459,0.272028,0.00137055
0.351739,0.278789,0.00136153
0.35202,0.285581,0.00135454
0.352301,0.292397,0.00135055
0.352582,0.299227,0.00135043
0.352863,0.306063,0.00135422
0.353145,0.312898,0.00136138
0.353426,0.319721,0.00137114
0.353708,0.326525,0.0013824
0.35399,0.3333,0.00139381
0.354273,0.340039,0.00140386
0.354555,0.346734,0.00141106
0.354838,0.353374,0.00141397
0.355121,0.359952,0.00141142
0.355405,0.366465,0.00140333
0.355688,0.372915,0.00139086
0.355972,0.379304,0.00137548
0.356256,0.385636,0.00135877
0.35654,0.391913,0.00134227
0.356824,0.398138,0.00132742
0.357109,0.404314,0.00131538
0.357394,0.410443,0.00130697
0.357679,0.416528,0.00130255
0.357964,0.422573,0.00130201
0.35825,0.428579,0.00130565
0.358536,0.43455,0.0013126
0.358822,0.440488,0.00132047
0.359108,0.446397,0.00132761
0.359394,0.452278,0.00133228
0.359681,0.458135,0.00133273
0.359968,0.463971,0.00132733
0.360255,0.469786,0.00131496
0.360542,0.475575,0.00129618
0.36083,0.48133,0.00127242
0.361118,0.48704,0.00124531
0.361406,0.492699,0.00121669
0.361694,0.498296,0.00118838
0.361983,0.503824,0.00116213
0.362272,0.509273,0.00113943
0.362561,0.514635,0.00112141
0.36285,0.519901,0.00110868
0.363139,0.525062,0.00110126
0.363429,0.53011,0.00109854
0.363719,0.535036,0.00109938
0.364009,0.539832,0.00109906
0.364299,0.544488,0.00109403
0.36459,0.548995,0.00108697
0.364881,0.553346,0.00107583
0.365172,0.557533,0.00105879
0.365463,0.56156,0.00103541
0.365755,0.565446,0.00100661
0.366046,0.569207,0.00097378
0.366338,0.57286,0.00093868
0.366631,0.576423,0.000903312
0.366923,0.579912,0.00086982
0.367216,0.583345,0.000840329
0.367509,0.586739,0.000816733
0.367802,0.590111,0.000800447
0.368095,0.593479,0.000792164
0.368389,0.596858,0.000791698
0.368683,0.600267,0.000797984
0.368977,0.603723,0.000809223
0.369271,0.607239,0.00082322
0.369566,0.610818,0.000838168
0.369861,0.614454,0.000855041
0.370156,0.618146,0.000875325
0.370451,0.62189,0.000893483
0.370746,0.625682,0.000909123
0.371042,0.629519,0.000922037
0.371338,0.633397,0.000932155
0.371634,0.637313,0.000939516
0.371931,0.641263,0.000944242
0.372227,0.645245,0.00094652
0.372524,0.649255,0.00094659
0.372822,0.653288,0.000944732
0.373119,0.657343,0.000941261
0.373417,0.661415,0.000936513
0.373714,0.665502,0.000930844
0.374013,0.669599,0.000924619
0.374311,0.673703,0.000918205
0.37461,0.677811,0.000911963
0.374908,0.681919,0.000906239
0.375207,0.686025,0.000901356
0.375507,0.690124,0.000897599
0.375806,0.694213,0.000892503
0.376106,0.698289,0.000880412
0.376406,0.702348,0.000869713
0.376706,0.706387,0.000860531
0.377007,0.710403,0.000852929
0.377308,0.714392,0.000846907
0.377609,0.71835,0.000842393
0.37791,0.722275,0.000839255
0.378211,0.726162,0.000837293
0.378513,0.730009,0.000836258
0.378815,0.733812,0.000835851
0.379117,0.737568,0.000835737
0.379419,0.741273,0.000835555
0.379722,0.744923,0.000834928
0.380025,0.748516,0.000833474
0.380328,0.752048,0.00083086
0.380632,0.755521,0.000826929
0.380935,0.758933,0.000821602
0.381239,0.762287,0.000814845
0.381543,0.765581,0.00080666
0.381848,0.768817,0.000797208
0.382152,0.771996,0.000787057
0.382457,0.775117,0.000775666
0.382762,0.778182,0.000763142
0.383067,0.78119,0.000749612
0.383373,0.784142,0.000735213
0.383679,0.787039,0.000720099
0.383985,0.789882,0.000704433
0.384291,0.79267,0.000688386
0.384598,0.795404,0.000672137
0.384905,0.798085,0.000655867
0.385212,0.800713,0.00063976
0.385519,0.803289,0.000623999
0.385826,0.805813,0.000608759
0.386134,0.808285,0.000594208
0.386442,0.810707,0.000580497
0.38675,0.813079,0.000567759
0.387059,0.8154,0.000556102
0.387368,0.817673,0.000545604
0.387677,0.819896,0.000536307
0.387986,0.822071,0.000528591
0.388295,0.824199,0.000525764
0.388605,0.826278,0.000524081
0.388915,0.828312,0.000523406
0.389225,0.830298,0.000523573
0.389536,0.832239,0.000524393
0.389847,0.834135,0.000525662
0.390158,0.835985,0.000527165
0.390469,0.837792,0.00052872
0.39078,0.839555,0.000530191
0.391092,0.841276,0.000531476
0.391404,0.842955,0.000532495
0.391716,0.844593,0.000533193
0.392029,0.846191,0.000533534
0.392342,0.847751,0.000533498
0.392654,0.849272,0.000533081
0.392968,0.850756,0.000532291
0.393281,0.852203,0.000531145
0.393595,0.853615,0.00052967
0.393909,0.854991,0.000527901
0.394223,0.856334,0.000525825
0.394538,0.857644,0.000520274
0.394852,0.858922,0.000514506
0.395167,0.860168,0.000508567
0.395482,0.861384,0.000502506
0.395798,0.86257,0.000496372
0.396114,0.863728,0.000490215
0.39643,0.864857,0.000484086
0.396746,0.86596,0.000478032
0.397062,0.867036,0.0004721
0.397379,0.868086,0.000466331
0.397696,0.869113,0.000460765
0.398013,0.870115,0.000455434
0.398331,0.871095,0.000450369
0.398649,0.872053,0.000445589
0.398967,0.87299,0.00044111
0.399285,0.873906,0.000436939
0.399603,0.874804,0.000433078
0.399922,0.875682,0.000429519
0.400241,0.876543,0.000426247
0.40056,0.877387,0.000423238
0.40088,0.878214,0.000418153
0.4012,0.879024,0.000413123
0.40152,0.879817,0.000408275
0.40184,0.880594,0.000403586
0.402161,0.881355,0.000399035
0.402481,0.8821,0.000394604
0.402802,0.88283,0.000390275
0.403124,0.883544,0.00038603
0.403445,0.884244,0.000381853
0.403767,0.884928,0.000377729
0.404089,0.885598,0.000373644
0.404412,0.886254,0.000369587
0.404734,0.886895,0.000365544
0.405057,0.887523,0.000361506
0.40538,0.888137,0.000357463
0.405704,0.888738,0.000353406
0.406027,0.889325,0.000349328
0.406351,0.8899,0.000345222
0.406675,0.890462,0.000341081
0.407,0.891012,0.000336901
0.407324,0.891549,0.000335836
0.407649,0.892075,0.000335213
0.407974,0.892589,0.00033453
0.4083,0.893092,0.000333788
0.408626,0.893584,0.000332985
0.408952,0.894064,0.000332123
0.409278,0.894534,0.000331203
0.409604,0.894994,0.000330228
0.409931,0.895444,0.000329198
0.410258,0.895883,0.000328117
0.410585,0.896313,0.000326989
0.410913,0.896733,0.000325816
0.411241,0.897145,0.000324603
0.411569,0.897547,0.000323353
0.411897,0.897941,0.000322071
0.412226,0.898326,0.000320761
0.412554,0.898703,0.000319427
0.412883,0.899072,0.000318075
0.413213,0.899433,0.000316708
0.413542,0.899787,0.000315331
0.413872,0.900134,0.000314032
0.414202,0.900473,0.000312757
0.414533,0.900806,0.000311485
0.414864,0.901133,0.000310222
0.415194,0.901453,0.000308972
0.415526,0.901767,0.000307739
0.415857,0.902076,0.000306526
0.416189,0.902378,0.000305338
0.416521,0.902676,0.000304176
0.416853,0.902969,0.000303044
0.417186,0.903257,0.000301945
0.417518,0.90354,0.000300881
0.417851,0.903819,0.000299854
0.418185,0.904094,0.000298865
0.418518,0.904365,0.000297916
0.418852,0.904633,0.000297007
0.419186,0.904897,0.000296138
0.419521,0.905159,0.000295311
0.419855,0.905417,0.000294524
0.42019,0.905673,0.000293777
0.420526,0.905927,0.000292844
0.420861,0.906178,0.000291856
0.421197,0.906426,0.000290902
0.421533,0.906673,0.000289979
0.421869,0.906917,0.000289087
0.422205,0.907158,0.000288223
0.422542,0.907397,0.000287386
0.422879,0.907634,0.000286574
0.423217,0.907868,0.000285785
0.423554,0.9081,0.000285017
0.423892,0.90833,0.00028427
0.42423,0.908557,0.000283541
0.424569,0.908782,0.000282829
0.424907,0.909005,0.000282133
0.425246,0.909226,0.000281451
0.425586,0.909444,0.000280782
0.425925,0.909661,0.000280124
0.426265,0.909874,0.000279477
0.426605,0.910086,0.000278839
0.426945,0.910296,0.000278209
0.427286,0.910503,0.000277925
0.427627,0.910708,0.000277842
0.427968,0.910911,0.000277763
0.428309,0.911112,0.000277687
0.428651,0.911311,0.000277613
0.428993,0.911508,0.00027754
0.429335,0.911703,0.000277468
0.429677,0.911895,0.000277395
0.43002,0.912086,0.000277321
0.430363,0.912274,0.000277245
0.430706,0.912461,0.000277166
0.43105,0.912645,0.000277084
0.431394,0.912828,0.000276998
0.431738,0.913008,0.000276907
0.432082,0.913186,0.000276812
0.432427,0.913363,0.000276711
0.432772,0.913538,0.000276604
0.433117,0.91371,0.000276491
0.433463,0.913881,0.00027637
0.433809,0.91405,0.000276243
0.434155,0.914217,0.000277993
0.434501,0.914382,0.000281233
0.434847,0.914545,0.000284472
0.435194,0.914706,0.000287711
0.435542,0.914866,0.000290949
0.435889,0.915023,0.000294186
0.436237,0.915179,0.000297423
0.436585,0.915333,0.00030066
0.436933,0.915486,0.000303896
0.437281,0.915636,0.000307131
0.43763,0.915785,0.000310366
0.437979,0.915932,0.000313601
0.438329,0.916077,0.000316836
0.438678,0.916221,0.00032007
0.439028,0.916363,0.000323305
0.439379,0.916503,0.00032654
0.439729,0.916642,0.000329775
0.44008,0.916779,0.000333011
0.440431,0.916914,0.000336248
0.440782,0.917048,0.000339485
0.441134,0.91718,0.000340997
0.441486,0.91731,0.000340647
0.441838,0.917439,0.000340291
0.44219,0.917566,0.000339928
0.442543,0.917692,0.000339559
0.442896,0.917816,0.000339183
0.443249,0.917939,0.000338802
0.443603,0.91806,0.000338415
0.443957,0.91818,0.000338022
0.444311,0.918298,0.000337624
0.444665,0.918415,0.00033722
0.44502,0.91853,0.000336812
0.445375,0.918644,0.000336399
0.44573,0.918757,0.000335981
0.446086,0.918868,0.000335559
0.446442,0.918977,0.000335133
0.446798,0.919086,0.000334703
0.447154,0.919192,0.000334269
0.447511,0.919298,0.000333832
0.447868,0.919402,0.000333392
0.448225,0.919505,0.000332294
0.448583,0.919607,0.000330233
0.448941,0.919707,0.000328168
