wavelength_um,radiance_w_m2_sr_um
0.28233,0.0843141
0.28241,0.0719337
0.28249,0.154372
0.28257,0.108158
0.28265,0.0463807
0.28273,0.116892
0.28281,0.142733
0.28289,0.127995
0.28297,0.0670571
0.28305,0.134178
0.28313,0.0806972
0.28321,0.104154
0.28329,0.0881497
0.28337,0.114845
0.28345,0.159328
0.28353,0.0708627
0.28361,0.0789262
0.28369,0.0585276
0.28377,0.0918729
0.28385,0.0977488
0.28393,0.13052
0.28401,0.101114
0.28409,0.0798963
0.28417,0.0530026
0.28425,0.102129
0.28433,0.0663838
0.28441,0.0438366
0.2845,0.0349987
0.28458,0.0575546
0.28466,0.034963
0.28474,0.0353812
0.28482,0.0432901
0.2849,0.0256641
0.28498,0.0248714
0.28506,0.0176768
0.28514,0.0162032
0.28523,0.0081287
0.28531,0.00246223
0.28539,0.0107051
0.28547,0.015497
0.28555,0.0249219
0.28563,0.0259167
0.28571,0.0322932
0.2858,0.0385056
0.28588,0.0535953
0.28596,0.0416763
0.28604,0.0829393
0.28612,0.0870241
0.2862,0.0719005
0.28629,0.0939045
0.28637,0.0880246
0.28645,0.0751423
0.28653,0.187529
0.28662,0.0616304
0.2867,0.091602
0.28678,0.0715406
0.28686,0.103374
0.28694,0.112038
0.28703,0.110958
0.28711,0.17714
0.28719,0.182776
0.28727,0.198427
0.28736,0.188554
0.28744,0.103455
0.28752,0.198288
0.2876,0.138804
0.28769,0.100794
0.28777,0.126552
0.28785,0.193066
0.28794,0.168835
0.28802,0.0951667
0.2881,0.108099
0.28818,0.0339419
0.28827,0.0272348
0.28835,0.0928081
0.28843,0.201438
0.28852,0.199054
0.2886,0.195942
0.28868,0.140815
0.28877,0.264894
0.28885,0.187141
0.28893,0.230365
0.28902,0.130512
0.2891,0.162302
0.28918,0.210296
0.28927,0.195956
0.28935,0.127324
0.28944,0.173213
0.28952,0.143352
0.2896,0.20103
0.28969,0.246901
0.28977,0.294831
0.28986,0.225366
0.28994,0.180301
0.29002,0.218816
0.29011,0.27235
0.29019,0.30805
0.29028,0.188684
0.29036,0.335789
0.29044,0.26936
0.29053,0.242928
0.29061,0.28548
0.2907,0.315384
0.29078,0.416472
0.29087,0.225234
0.29095,0.213143
0.29104,0.31159
0.29112,0.212564
0.29121,0.208294
0.29129,0.0911917
0.29138,0.367257
0.29146,0.249303
0.29155,0.325912
0.29163,0.335681
0.29172,0.33129
0.2918,0.280573
0.29189,0.34628
0.29197,0.348202
0.29206,0.326651
0.29214,0.344833
0.29223,0.388883
0.29231,0.26115
0.2924,0.266802
0.29248,0.213
0.29257,0.30876
0.29265,0.238394
0.29274,0.10687
0.29283,0.230719
0.29291,0.238577
0.293,0.112824
0.29308,0.368493
0.29317,0.305857
0.29326,0.259054
0.29334,0.236193
0.29343,0.292842
0.29351,0.363978
0.2936,0.470876
0.29369,0.341075
0.29377,0.0624884
0.29386,0.352064
0.29394,0.284095
0.29403,0.203693
0.29412,0.337177
0.2942,0.205676
0.29429,0.226553
0.29438,0.397567
0.29446,0.285849
0.29455,0.151441
0.29464,0.428336
0.29472,0.526296
