wavelength_um,radiance_w_m2_sr_um
0.27397,0.023877
0.27405,0.00624353
0.27412,0.0308577
0.2742,0.0387188
0.27427,0.0250638
0.27435,0.0119683
0.27442,0.00895622
0.2745,0.016556
0.27457,0.038393
0.27465,0.0285354
0.27473,0.00723152
0.2748,0.0104598
0.27488,0.0322529
0.27495,0.0206726
0.27503,0.00438027
0.2751,0.0103548
0.27518,0.0283107
0.27525,0.0343098
0.27533,0.0726414
0.27541,0.0374064
0.27548,0.0259813
0.27556,0.0289491
0.27563,0.00940493
0.27571,0.0101929
0.27579,0.0309873
0.27586,0.0460152
0.27594,0.0823399
0.27601,0.0387456
0.27609,0.0595075
0.27617,0.0685526
0.27624,0.0287766
0.27632,0.0267351
0.2764,0.0696782
0.27647,0.0734814
0.27655,0.0883866
0.27663,0.0629684
0.2767,0.0379714
0.27678,0.0632996
0.27685,0.0539729
0.27693,0.0419832
0.27701,0.0193251
0.27709,0.0700297
0.27716,0.0744659
0.27724,0.0628672
0.27732,0.0500128
0.27739,0.0787716
0.27747,0.0827449
0.27755,0.0760288
0.27762,0.0745515
0.2777,0.04971
0.27778,0.0429747
0.27785,0.0439841
0.27793,0.0265234
0.27801,0.0311142
0.27809,0.0176171
0.27816,0.0311672
0.27824,0.022628
0.27832,0.0336617
0.2784,0.025105
0.27847,0.0295955
0.27855,0.0444747
0.27863,0.0457193
0.27871,0.0362104
0.27878,0.0344346
0.27886,0.022602
0.27894,0.0307927
0.27902,0.0287584
0.2791,0.0225555
0.27917,0.0164443
0.27925,0.0150435
0.27933,0.0137161
0.27941,0.0118878
0.27949,0.00710724
0.27956,0.00296799
0.27964,0.000913022
0.27972,0.00460653
0.2798,0.0085202
0.27988,0.00723681
0.27996,0.011941
0.28003,0.0137432
0.28011,0.0149143
0.28019,0.00934815
0.28027,0.00670416
0.28035,0.00133925
0.28043,0.00587404
0.2805,0.0105842
0.28058,0.014604
0.28066,0.0180437
0.28074,0.019901
0.28082,0.0269529
0.2809,0.027428
0.28098,0.0400939
0.28106,0.0420395
0.28114,0.0437944
0.28121,0.0398791
0.28129,0.0357565
0.28137,0.0453851
0.28145,0.046397
0.28153,0.0754109
0.28161,0.0587182
0.28169,0.0863688
0.28177,0.098934
0.28185,0.070032
0.28193,0.0776604
0.28201,0.0713709
0.28209,0.127955
0.28217,0.0952701
0.28225,0.0792229
0.28233,0.0819719
0.28241,0.0699802
0.28249,0.150337
0.28257,0.105493
0.28265,0.0452967
0.28273,0.11433
0.28281,0.139732
0.28289,0.125383
0.28297,0.0656884
0.28305,0.13137
0.28313,0.0790194
0.28321,0.101909
0.28329,0.0862084
0.28337,0.112239
0.28345,0.155743
0.28353,0.0694185
0.28361,0.0774617
0.28369,0.057587
0.28377,0.0906633
0.28385,0.0966442
0.28393,0.129366
0.28401,0.100468
0.28409,0.0794824
0.28417,0.0528231
0.28425,0.101858
0.28433,0.0662118
0.28441,0.0437278
0.2845,0.0349332
0.28458,0.0575138
0.28466,0.0349766
0.28474,0.0354158
0.28482,0.0433616
0.2849,0.0257318
0.28498,0.0249613
0.28506,0.0177851
0.28514,0.0163422
0.28523,0.00821929
0.28531,0.00249233
0.28539,0.0108487
0.28547,0.0157338
0.28555,0.0253364
0.28563,0.0263249
0.28571,0.0327893
0.2858,0.0390883
0.28588,0.0544322
0.28596,0.0423868
0.28604,0.0843962
0.28612,0.0886622
0.2862,0.073335
0.28629,0.0960153
0.28637,0.0900573
0.28645,0.0770399
0.28653,0.192559
0.28662,0.0634027
0.2867,0.0944184
0.28678,0.0738022
0.28686,0.106718
0.28694,0.115888
0.28703,0.114725
0.28711,0.183169
0.28719,0.189177
0.28727,0.205576
0.28736,0.195663
0.28744,0.107619
0.28752,0.206997
0.2876,0.1452
0.28769,0.105833
0.28777,0.133254
0.28785,0.203844
0.28794,0.178737
0.28802,0.100966
0.2881,0.114809
0.28818,0.0361045
0.28827,0.0290314
0.28835,0.0990237
0.28843,0.215021
0.28852,0.21264
0.2886,0.209737
0.28868,0.150811
0.28877,0.284333
0.28885,0.201068
0.28893,0.247962
0.28902,0.140783
0.2891,0.175332
0.28918,0.22736
0.28927,0.212209
0.28935,0.137978
0.28944,0.188301
0.28952,0.156165
0.2896,0.219583
0.28969,0.270245
0.28977,0.323366
0.28986,0.247433
0.28994,0.198179
0.29002,0.240752
0.29011,0.29982
0.29019,0.339531
0.29028,0.208658
0.29036,0.371467
0.29044,0.298452
0.29053,0.26975
0.29061,0.317202
0.2907,0.35131
0.29078,0.464738
0.29087,0.251568
0.29095,0.238518
0.29104,0.349734
0.29112,0.239054
0.29121,0.235097
0.29129,0.103154
0.29138,0.416314
0.29146,0.283688
0.29155,0.372253
0.29163,0.38403
0.29172,0.380973
0.2918,0.323534
0.29189,0.399696
0.29197,0.402844
0.29206,0.378773
0.29214,0.400301
0.29223,0.452807
0.29231,0.304488
0.2924,0.311189
0.29248,0.248748
0.29257,0.360608
0.29265,0.278502
0.29274,0.124964
0.29283,0.270253
0.29291,0.280187
0.293,0.133117
0.29308,0.436447
0.29317,0.362333
0.29326,0.308611
0.29334,0.281958
0.29343,0.350344
0.29351,0.437328
0.2936,0.568764
0.29369,0.412561
0.29377,0.0757293
0.29386,0.427845
0.29394,0.345773
0.29403,0.247774
0.29412,0.410859
0.2942,0.25055
0.29429,0.276434
0.29438,0.486813
0.29446,0.350734
0.29455,0.185628
0.29464,0.527054
0.29472,0.650093
0.29481,0.203503
0.2949,0.105962
0.29499,0.178754
0.29507,0.391587
0.29516,0.523821
0.29525,0.56114
0.29533,0.60774
0.29542,0.383945
0.29551,0.280294
0.2956,0.594717
0.29568,0.497949
0.29577,0.359488
0.29586,0.410462
0.29595,0.675436
0.29603,0.534372
0.29612,0.582036
0.29621,0.545997
0.2963,0.645092
0.29638,0.831262
0.29647,0.483614
0.29656,0.190943
0.29665,0.364609
0.29674,0.177185
0.29682,0.24618
0.29691,0.359524
0.297,0.441474
0.29709,0.18888
0.29718,0.436059
0.29727,0.469993
0.29735,0.367859
0.29744,0.250637
0.29753,0.65581
0.29762,0.634562
0.29771,0.485461
0.2978,0.888912
0.29789,0.787348
0.29797,0.620626
0.29806,0.488396
0.29815,0.508148
0.29824,0.219276
0.29833,0.49113
0.29842,0.283624
0.29851,0.330879
0.2986,0.314574
0.29869,0.360957
0.29878,0.62187
0.29886,0.319591
0.29895,0.558044
0.29904,0.686431
0.29913,0.735437
0.29922,0.75874
0.29931,0.686633
0.2994,0.764399
0.29949,0.349164
0.29958,0.351216
0.29967,0.760472
0.29976,0.757467
0.29985,0.97235
0.29994,0.828687
0.30003,0.268391
0.30012,0.448819
0.30021,0.261168
0.3003,0.521534
0.30039,0.344382
0.30048,0.45975
0.30057,0.895804
0.30066,0.8299
0.30075,0.603324
0.30084,0.561938
0.30093,0.411997
0.30102,0.493395
0.30111,1.02813
0.3012,1.04453
0.3013,0.509122
0.30139,1.03112
0.30148,0.972437
0.30157,0.774748
0.30166,1.18364
0.30175,1.13999
0.30184,0.43665
0.30193,0.877232
0.30202,0.546932
0.30211,0.320531
0.30221,0.208812
0.3023,0.956215
0.30239,1.4123
0.30248,0.931961
0.30257,1.38036
0.30266,0.458511
0.30276,0.961439
0.30285,2.28188
0.30294,2.20523
0.30303,1.5393
0.30312,1.69022
0.30321,0.953029
0.30331,2.72781
0.3034,2.24211
0.30349,2.32851
0.30358,2.59025
0.30367,2.45328
0.30377,2.02587
0.30386,0.563517
0.30395,2.17761
0.30404,2.09616
0.30414,1.5402
0.30423,2.2568
0.30432,1.76373
0.30441,3.1072
0.30451,2.55709
0.3046,2.53899
0.30469,3.76589
0.30479,1.9822
0.30488,1.30508
0.30497,3.16751
0.30506,4.93437
0.30516,2.01326
0.30525,6.27415
0.30534,5.99866
0.30544,3.8038
0.30553,3.06636
0.30562,3.88861
0.30572,4.80138
0.30581,2.27717
0.3059,2.58275
0.306,1.37874
0.30609,4.50566
0.30618,4.78025
0.30628,4.95952
0.30637,5.89873
0.30647,3.78924
0.30656,3.62102
0.30665,7.4206
0.30675,3.95035
0.30684,3.11086
0.30694,5.66264
0.30703,7.52317
0.30713,7.1978
0.30722,8.74109
0.30731,4.84533
0.30741,8.36373
0.3075,7.63302
0.3076,8.16327
0.30769,7.53825
0.30779,11.1786
0.30788,8.74543
0.30798,8.31424
0.30807,11.3911
0.30817,9.77321
0.30826,6.29987
0.30836,10.3927
0.30845,6.44935
0.30855,18.1202
0.30864,13.1012
0.30874,10.8256
0.30883,10.7899
0.30893,10.7829
0.30902,12.9077
0.30912,11.6456
0.30921,5.90686
0.30931,13.3246
0.30941,4.47268
0.3095,12.2424
0.3096,19.1295
0.30969,16.446
0.30979,5.52528
0.30989,24.8105
0.30998,16.2903
0.31008,4.5657
0.31017,6.80128
0.31027,4.84546
0.31037,28.6786
0.31046,19.5465
0.31056,25.3931
0.31066,18.4158
0.31075,28.184
0.31085,22.8454
0.31095,29.5077
0.31104,36.1183
0.31114,24.4411
0.31124,34.1302
0.31133,37.9721
0.31143,25.5576
0.31153,23.735
0.31162,28.205
0.31172,37.9873
0.31182,30.9488
0.31192,25.3417
0.31201,24.9018
0.31211,21.1964
0.31221,41.9051
0.3123,22.6932
0.3124,30.6731
0.3125,50.9686
0.3126,25.7914
0.3127,39.4595
0.31279,59.1204
0.31289,45.5832
0.31299,37.5439
0.31309,53.8371
0.31319,31.955
0.31328,39.9707
0.31338,47.8571
0.31348,32.5868
0.31358,35.5203
0.31368,44.243
0.31377,26.9279
0.31387,57.9997
0.31397,51.9999
0.31407,42.3895
0.31417,57.428
0.31427,67.3919
0.31437,43.5826
0.31447,11.0556
0.31456,26.5008
0.31466,42.3963
0.31476,60.9364
0.31486,35.1827
0.31496,83.2381
0.31506,65.2974
0.31516,81.28
0.31526,61.8842
0.31536,83.2603
0.31546,106.145
0.31556,50.8927
0.31566,47.5937
0.31576,41.6902
0.31586,28.9122
0.31596,25.2608
0.31606,41.447
0.31616,41.8159
0.31626,30.9877
0.31636,41.854
0.31646,93.3668
0.31656,50.4819
0.31666,70.4792
0.31676,49.2361
0.31686,65.9869
0.31696,55.8381
0.31706,71.2216
0.31716,97.5092
0.31726,87.3995
0.31736,134.396
0.31746,79.5359
0.31756,82.7166
0.31766,106.117
0.31776,121.876
0.31786,69.6244
0.31797,91.4347
0.31807,51.6811
0.31817,64.6178
0.31827,32.3488
0.31837,68.3814
0.31847,88.5045
0.31857,66.99
0.31867,118.768
0.31878,62.6191
0.31888,118.199
0.31898,169.851
0.31908,162.79
0.31918,62.7381
0.31928,63.9545
0.31939,37.5493
0.31949,64.0928
0.31959,83.3991
0.31969,79.9801
0.3198,64.0928
0.3199,134.381
0.32,120.986
0.3201,64.3865
0.3202,125.809
0.32031,82.2195
0.32041,93.1196
0.32051,151.256
0.32062,109.225
0.32072,168.683
0.32082,157.774
0.32092,126.44
0.32103,94.3933
0.32113,65.9795
0.32123,113.937
0.32134,174.986
0.32144,55.5758
0.32154,88.1234
0.32165,208.856
0.32175,130.251
0.32185,133.25
0.32196,148.874
0.32206,69.0852
0.32216,154.277
0.32227,68.9201
0.32237,99.4973
0.32248,134.287
0.32258,92.2064
0.32268,45.4965
0.32279,59.1218
0.32289,52.2732
0.323,79.3394
0.3231,71.6404
0.32321,126.368
0.32331,213.242
0.32342,113.355
0.32352,71.2625
0.32362,163.258
0.32373,84.5773
0.32383,174.747
0.32394,167.5
0.32404,97.722
0.32415,167.55
0.32425,134.09
0.32436,237.412
0.32446,125.9
0.32457,222.705
0.32468,158.693
0.32478,153.315
0.32489,143.235
0.32499,131.947
0.3251,159.173
0.3252,147.624
0.32531,185.615
0.32541,130.53
0.32552,73.4547
0.32563,225.501
0.32573,216.315
0.32584,165.788
0.32595,197.302
0.32605,219.945
0.32616,180.061
0.32626,204.799
0.32637,250.654
0.32648,213.783
0.32658,190.737
0.32669,250.276
0.3268,176.286
0.3269,231.987
0.32701,188.235
0.32712,201.556
0.32723,141.493
0.32733,271.24
0.32744,227.138
0.32755,200.039
0.32765,194.738
0.32776,193.192
0.32787,195.909
0.32798,128.548
0.32808,139.943
0.32819,178.667
0.3283,185.794
0.32841,163.463
0.32852,161.232
0.32862,191.951
0.32873,165.181
0.32884,236.212
0.32895,164.544
0.32906,314.646
0.32916,185.802
0.32927,249.542
0.32938,281.774
0.32949,338.382
0.3296,270.076
0.32971,185.882
0.32982,223.246
0.32992,259.639
0.33003,211.275
0.33014,363.209
0.33025,274.781
0.33036,163.582
0.33047,188.242
0.33058,215.935
0.33069,112.587
0.3308,172.816
0.33091,201.979
0.33102,242.183
0.33113,160.479
0.33124,202.379
0.33135,234.423
0.33146,187.82
0.33156,164.42
0.33167,235.717
0.33178,212.513
0.3319,233.184
0.33201,222.08
0.33212,225.496
0.33223,311.515
0.33234,176.261
0.33245,207.224
0.33256,337.552
0.33267,293.135
0.33278,158.358
0.33289,233.902
0.333,192.418
0.33311,219.12
0.33322,317.682
0.33333,214.555
0.33344,258.369
0.33356,244.485
0.33367,177.697
0.33378,127.925
0.33389,210.562
0.334,203.001
0.33411,226.06
0.33422,307.019
0.33434,211.839
0.33445,210.001
0.33456,266.139
0.33467,221.09
0.33478,238.861
0.3349,219.717
0.33501,96.8176
0.33512,189.626
0.33523,307.014
0.33535,321.049
0.33546,265.068
0.33557,325.308
0.33568,320.941
0.3358,343.636
0.33591,185.952
0.33602,103.49
0.33613,81.3102
