wavelength_um,sw,u_random_sw,u_param_sw,u_scatter_sw,to,u_random_to,u_param_to,u_scatter_to,lw,u_random_lw,u_param_lw,u_scatter_lw,ss,u_random_ss,u_param_ss,u_scatter_ss
2.22973,0.833102,0.000775648,0.000522178,0.00057355,0.960658,0.000527398,0.000356782,0.0003884,0.000822035,0.00011504,1.40621e-05,0.000114178,0.634467,0.000456174,0.000367574,0.000270156
2.23151,0.833233,0.000768452,0.000522293,0.000563673,0.960672,0.000524424,0.000355164,0.000385849,0.000825566,0.00011305,1.39785e-05,0.000112182,0.634488,0.000456779,0.000365788,0.00027358
2.23329,0.833364,0.000761188,0.000522231,0.000553789,0.960685,0.000521416,0.000353497,0.000383295,0.000829165,0.000111057,1.38895e-05,0.000110185,0.63451,0.000457351,0.000363918,0.000277007
2.23507,0.833495,0.000753865,0.000522006,0.000543896,0.960699,0.000518375,0.000351782,0.000380739,0.000832821,0.000109062,1.37968e-05,0.000108186,0.634531,0.0004579,0.000361977,0.000280437
2.23685,0.833625,0.000746494,0.000521634,0.000533995,0.960712,0.000515302,0.000350022,0.000378181,0.000836525,0.000107065,1.37018e-05,0.000106185,0.634553,0.000458438,0.000359977,0.00028387
2.23864,0.833754,0.000739087,0.000521136,0.000524087,0.960725,0.000512197,0.000348217,0.000375621,0.000840268,0.000105068,1.36061e-05,0.000104183,0.634574,0.000458977,0.000357933,0.000287305
2.24042,0.833881,0.000731661,0.000520535,0.00051417,0.960737,0.000509062,0.000346368,0.000373059,0.000844038,0.000103069,1.35111e-05,0.000102179,0.634595,0.000459527,0.000355857,0.000290743
2.24221,0.834007,0.000724234,0.000519856,0.000504246,0.96075,0.000505895,0.000344476,0.000370495,0.000847828,0.000101069,1.34184e-05,0.000100174,0.634617,0.0004601,0.000353763,0.000294184
2.244,0.834132,0.000716829,0.000519131,0.000494314,0.960763,0.0005027,0.000342542,0.000367929,0.000851627,9.90677e-05,1.33295e-05,9.81669e-05,0.634638,0.000460706,0.000351665,0.000297627
2.24579,0.834254,0.000709473,0.000518395,0.000484374,0.960775,0.000499475,0.000340568,0.00036536,0.000855426,9.70664e-05,1.32459e-05,9.61584e-05,0.634658,0.000461354,0.000349575,0.000301074
2.24758,0.834373,0.000702195,0.000517686,0.000474426,0.960787,0.000496222,0.000338554,0.00036279,0.000859214,9.50648e-05,1.31692e-05,9.41482e-05,0.634679,0.000462055,0.000347507,0.000304523
2.24937,0.83449,0.000695032,0.000517047,0.00046447,0.960799,0.000492941,0.000336502,0.000360218,0.000862983,9.30632e-05,1.31007e-05,9.21365e-05,0.6347,0.000462818,0.000345474,0.000307974
2.25117,0.834603,0.000688024,0.000516528,0.000454506,0.960812,0.000489633,0.000334412,0.000357644,0.000866722,9.10619e-05,1.30418e-05,9.01231e-05,0.63472,0.00046365,0.000343487,0.000311429
2.25296,0.834713,0.00068122,0.000516189,0.000444534,0.960824,0.0004863,0.000332287,0.000355067,0.000870423,8.90611e-05,1.29938e-05,8.81081e-05,0.634741,0.000464561,0.00034156,0.000314886
2.25476,0.834821,0.000674674,0.000516088,0.000434554,0.960835,0.00048294,0.000330126,0.000352489,0.000874075,8.70612e-05,1.29577e-05,8.60916e-05,0.634761,0.000465556,0.000339704,0.000318346
2.25656,0.834925,0.000668433,0.000516282,0.000424566,0.960847,0.000479557,0.000327931,0.000349908,0.000877668,8.50626e-05,1.29348e-05,8.40734e-05,0.634781,0.000466644,0.000337929,0.000321809
2.25836,0.835028,0.000669791,0.000516814,0.000426055,0.960859,0.000480066,0.000325703,0.000352677,0.000881194,8.30723e-05,1.29258e-05,8.20605e-05,0.634801,0.000464512,0.000336247,0.000320483
2.26016,0.835127,0.000674603,0.000517722,0.000432497,0.96087,0.000482292,0.000323443,0.000357756,0.000884641,8.10868e-05,1.29315e-05,8.0049e-05,0.634821,0.000461029,0.000334667,0.000317089
2.26196,0.835225,0.000679754,0.000519032,0.000438944,0.960882,0.000484553,0.000321153,0.000362839,0.000888002,7.91035e-05,1.29525e-05,7.80359e-05,0.63484,0.000457629,0.000333198,0.000313693
