wavelength [nm],signal
524.889,0.002
525.113,0.002
525.337,0.004
525.562,-0.002
525.786,0.002
526.011,0.005
526.235,0.002
526.459,0.001
526.684,0.006
526.908,0.003
527.133,0.004
527.357,0.002
527.582,0.003
527.806,0.001
528.031,0.006
528.255,0.003
528.48,0.003
528.704,0.002
528.929,0.003
529.154,0.003
529.378,0.003
529.603,0.001
529.827,0.005
530.052,0.001
530.277,0.005
530.501,0.003
530.726,0.002
530.95,0.001
531.175,0.003
531.4,0.003
531.625,0.004
531.849,-0.001
532.074,0.003
532.299,0.003
532.523,0.004
532.748,0.002
532.973,0.005
533.198,0
533.422,0.004
533.647,0.002
533.872,0.006
534.097,0.004
534.322,0.006
534.547,0.002
534.771,0.005
534.996,0.004
535.221,0.002
535.446,0.004
535.671,0.005
535.896,0.005
536.121,0.003
536.346,0.005
536.571,0.007
536.796,0.003
537.021,0.004
537.246,0.004
537.471,0.007
537.696,0.003
537.921,0.006
538.146,0.007
538.371,0.003
538.596,0.002
538.821,0.005
539.046,0.005
539.271,0.005
539.496,0.005
539.721,0.007
539.946,0.005
540.171,0.004
540.397,0.005
540.622,0.008
540.847,0.004
541.072,0.006
541.297,0.007
541.523,0.008
541.748,0.009
541.973,0.01
542.198,0.008
542.423,0.011
542.649,0.012
542.874,0.014
543.099,0.014
543.325,0.019
543.55,0.021
543.775,0.022
544.001,0.026
544.226,0.032
544.451,0.039
544.677,0.057
544.902,0.155
545.127,2.319
545.353,5
545.578,5
545.804,5
546.029,5
546.254,3.879
546.48,2.114
546.705,0.261
546.931,0.154
547.156,0.092
547.382,0.08
547.607,0.06
547.833,0.059
548.058,0.048
548.284,0.046
548.51,0.041
548.735,0.036
548.961,0.034
549.186,0.035
549.412,0.028
549.638,0.03
549.863,0.026
550.089,0.025
550.314,0.022
550.54,0.022
550.766,0.018
550.991,0.02
551.217,0.017
551.443,0.015
551.669,0.016
551.894,0.015
552.12,0.013
552.346,0.014
552.572,0.013
552.797,0.011
553.023,0.011
553.249,0.015
553.475,0.012
553.701,0.013
553.926,0.007
554.152,0.011
554.378,0.011
554.604,0.008
554.83,0.008
555.056,0.01
555.282,0.011
555.508,0.007
555.734,0.007
555.959,0.009
556.185,0.006
556.411,0.008
556.637,0.006
556.863,0.009
557.089,0.005
557.315,0.009
557.541,0.007
557.767,0.009
557.993,0.007
558.219,0.006
558.446,0.006
558.672,0.007
558.898,0.006
559.124,0.007
559.35,0.007
559.576,0.006
559.802,0.005
560.028,0.006
560.254,0.008
560.481,0.006
560.707,0.002
560.933,0.007
561.159,0.007
561.385,0.009
561.612,0.005
561.838,0.006
562.064,0.005
562.29,0.006
562.517,0.005
562.743,0.003
562.969,0.005
563.195,0.004
563.422,0.004
563.648,0.005
563.874,0.005
564.101,0.005
564.327,0.006
564.553,0.005
564.78,0.003
565.006,0.004
565.233,0.004
565.459,0.002
565.686,0.007
565.912,0.005
566.138,0.004
566.365,0.006
566.591,0.006
566.818,0.003
567.044,0.004
567.271,0.006
567.497,0.005
567.724,0.005
567.95,0.006
568.177,0.008
568.403,0.001
568.63,0.006
568.857,0.007
569.083,0.008
569.31,0.004
569.536,0.005
569.763,0.006
569.99,0.006
570.216,0.006
570.443,0.004
570.67,0.006
570.896,0.005
571.123,0.003
571.35,0.007
571.577,0.005
571.803,0.007
572.03,0.006
572.257,0.003
572.484,0.005
572.71,0.009
572.937,0.004
573.164,0.009
573.391,0.007
573.617,0.008
573.844,0.007
574.071,0.008
574.298,0.009
574.525,0.007
574.752,0.009
574.979,0.009
575.206,0.011
575.432,0.016
575.659,0.017
575.886,0.039
576.113,0.434
576.34,2.266
576.567,3.332
576.794,2.278
577.021,1.107
577.248,0.541
577.475,0.135
577.702,0.081
577.929,0.226
