Wavelength,Normalized Flux,Relative Uncertainty
[m],Shirley F1 Case Approx,
3.22E-06,0.993790876,0.1
3.24E-06,0.993747821,0.1
3.26E-06,0.993704517,0.1
3.28E-06,0.993660873,0.1
3.31E-06,0.993616841,0.1
3.33E-06,0.993572462,0.1
3.35E-06,0.993527856,0.1
3.38E-06,0.99348301,0.1
3.40E-06,0.993437877,0.1
3.42E-06,0.993392335,0.1
3.45E-06,0.993346406,0.1
3.47E-06,0.993300168,0.1
3.50E-06,0.993253693,0.1
3.52E-06,0.993206986,0.1
3.54E-06,0.99315991,0.1
3.57E-06,0.993112428,0.1
3.59E-06,0.993064533,0.1
3.62E-06,0.99301634,0.1
3.64E-06,0.992967926,0.1
3.67E-06,0.992919227,0.1
3.69E-06,0.992870181,0.1
3.72E-06,0.992820671,0.1
3.75E-06,0.992770743,0.1
3.77E-06,0.992720508,0.1
3.80E-06,0.992670008,0.1
3.82E-06,0.992619271,0.1
3.85E-06,0.992568156,0.1
3.88E-06,0.992516577,0.1
3.90E-06,0.992464558,0.1
3.93E-06,0.992412142,0.1
3.96E-06,0.992359472,0.1
3.99E-06,0.992306559,0.1
4.01E-06,0.992253296,0.1
4.04E-06,0.99219962,0.1
4.07E-06,0.992145431,0.1
4.10E-06,0.992090776,0.1
4.13E-06,0.992035808,0.1
4.16E-06,0.991980556,0.1
4.18E-06,0.991925035,0.1
4.21E-06,0.991869168,0.1
4.24E-06,0.991812784,0.1
4.27E-06,0.991755884,0.1
4.30E-06,0.991698537,0.1
4.33E-06,0.991640803,0.1
4.36E-06,0.991582818,0.1
4.39E-06,0.991524574,0.1
4.42E-06,0.991465916,0.1
4.45E-06,0.991406779,0.1
4.48E-06,0.991347101,0.1
4.51E-06,0.991286867,0.1
4.55E-06,0.991226246,0.1
4.58E-06,0.99116535,0.1
4.61E-06,0.991104145,0.1
4.64E-06,0.991042609,0.1
4.67E-06,0.990980636,0.1
4.71E-06,0.990918055,0.1
4.74E-06,0.990854882,0.1
4.77E-06,0.99079124,0.1
4.80E-06,0.990727187,0.1
4.84E-06,0.990662819,0.1
4.87E-06,0.990598208,0.1
4.91E-06,0.990533214,0.1
4.94E-06,0.990467667,0.1
4.97E-06,0.990401539,0.1
5.01E-06,0.990334808,0.1
5.04E-06,0.990267482,0.1
5.08E-06,0.990199737,0.1
5.11E-06,0.990131726,0.1
5.15E-06,0.990063401,0.1
5.18E-06,0.989994675,0.1
5.22E-06,0.989925497,0.1
5.26E-06,0.98985572,0.1
5.29E-06,0.989785213,0.1
5.33E-06,0.989714064,0.1
5.37E-06,0.989642444,0.1
5.40E-06,0.989570419,0.1
5.44E-06,0.989498035,0.1
5.48E-06,0.989425368,0.1
5.52E-06,0.989352339,0.1
5.56E-06,0.989278719,0.1
5.59E-06,0.989204385,0.1
5.63E-06,0.989129371,0.1
5.67E-06,0.9890537,0.1
5.71E-06,0.988977402,0.1
5.75E-06,0.988900643,0.1
5.79E-06,0.988823611,0.1
5.83E-06,0.988746289,0.1
5.87E-06,0.98866852,0.1
5.91E-06,0.988590203,0.1
5.95E-06,0.98851128,0.1
5.99E-06,0.988431612,0.1
6.04E-06,0.988351098,0.1
6.08E-06,0.988269849,0.1
6.12E-06,0.988188093,0.1
6.16E-06,0.988105944,0.1
6.21E-06,0.988023398,0.1
6.25E-06,0.987940475,0.1
6.29E-06,0.987857196,0.1
6.34E-06,0.987773423,0.1
6.38E-06,0.987688899,0.1
6.42E-06,0.987603486,0.1
6.47E-06,0.987517244,0.1
6.51E-06,0.987430278,0.1
6.56E-06,0.987342632,0.1
6.60E-06,0.987254379,0.1
6.65E-06,0.987165706,0.1
6.70E-06,0.987076772,0.1
6.74E-06,0.986987525,0.1
6.79E-06,0.98689775,0.1
6.84E-06,0.986807273,0.1
6.88E-06,0.986716036,0.1
6.93E-06,0.986623989,0.1
6.98E-06,0.98653102,0.1
7.03E-06,0.986437081,0.1
7.08E-06,0.986342322,0.1
7.13E-06,0.986247014,0.1
7.18E-06,0.986151332,0.1
7.23E-06,0.986055272,0.1
7.28E-06,0.985958763,0.1
7.33E-06,0.985861783,0.1
7.38E-06,0.985764309,0.1
7.43E-06,0.985666192,0.1
7.48E-06,0.985567166,0.1
7.53E-06,0.985467038,0.1
7.58E-06,0.985365828,0.1
7.64E-06,0.985263708,0.1
7.69E-06,0.985160835,0.1
7.74E-06,0.985057274,0.1
7.80E-06,0.984953079,0.1
7.85E-06,0.984848392,0.1
7.90E-06,0.984743383,0.1
7.96E-06,0.984638091,0.1
8.02E-06,0.984532337,0.1
8.07E-06,0.984425834,0.1
8.13E-06,0.984318369,0.1
8.18E-06,0.98420988,0.1
8.24E-06,0.984100379,0.1
8.30E-06,0.983989834,0.1
8.35E-06,0.98387818,0.1
8.41E-06,0.983765432,0.1
8.47E-06,0.98365178,0.1
8.53E-06,0.983537524,0.1
8.59E-06,0.983422903,0.1
8.65E-06,0.983307966,0.1
8.71E-06,0.983192599,0.1
8.77E-06,0.983076653,0.1
8.83E-06,0.982960048,0.1
8.89E-06,0.982842743,0.1
8.95E-06,0.982724634,0.1
9.01E-06,0.982605499,0.1
9.08E-06,0.98248508,0.1
9.14E-06,0.982363233,0.1
9.20E-06,0.982240023,0.1
9.27E-06,0.982115686,0.1
9.33E-06,0.981990479,0.1
9.40E-06,0.981864557,0.1
9.46E-06,0.981737969,0.1
9.53E-06,0.98161074,0.1
9.59E-06,0.981482954,0.1
9.66E-06,0.981354748,0.1
9.73E-06,0.981226203,0.1
9.79E-06,0.981097235,0.1
9.86E-06,0.980967577,0.1
9.93E-06,0.980836882,0.1
1.00E-05,0.980704869,0.1
1.01E-05,0.980571423,0.1
1.01E-05,0.980436576,0.1
1.02E-05,0.980300415,0.1
1.03E-05,0.980162981,0.1
1.04E-05,0.98002426,0.1
1.04E-05,0.979884257,0.1
1.05E-05,0.979743082,0.1
1.06E-05,0.979600987,0.1
1.06E-05,0.979458292,0.1
1.07E-05,0.979315264,0.1
1.08E-05,0.979171996,0.1
1.09E-05,0.979028386,0.1
1.09E-05,0.978884204,0.1
1.10E-05,0.978739211,0.1
1.11E-05,0.978593242,0.1
1.12E-05,0.978446219,0.1
1.12E-05,0.978298089,0.1
1.13E-05,0.97814874,0.1
1.14E-05,0.977997973,0.1
1.15E-05,0.977845545,0.1
1.16E-05,0.977691274,0.1
1.16E-05,0.977535133,0.1
1.17E-05,0.977377289,0.1
1.18E-05,0.977218054,0.1
1.19E-05,0.977057778,0.1
1.20E-05,0.976896734,0.1
1.21E-05,0.976735061,0.1
1.21E-05,0.976572773,0.1
1.22E-05,0.976409833,0.1
1.23E-05,0.976246228,0.1
1.24E-05,0.976082005,0.1
1.25E-05,0.975917244,0.1
1.26E-05,0.975751987,0.1
1.27E-05,0.975586158,0.1
1.27E-05,0.975419524,0.1
1.28E-05,0.975251724,0.1
1.29E-05,0.975082355,0.1
1.30E-05,0.974911077,0.1
1.31E-05,0.974737702,0.1
1.32E-05,0.974562214,0.1
1.33E-05,0.974384737,0.1
1.34E-05,0.974205454,0.1
1.35E-05,0.974024529,0.1
1.36E-05,0.973842059,0.1
1.37E-05,0.973658079,0.1
1.37E-05,0.973472615,0.1
1.38E-05,0.973285744,0.1
1.39E-05,0.973097642,0.1
